grid,laps,year,round,lat,lng,alt,position_quali,q1,q2,q3,points_driver_standing,position_driver_standing,wins,points_team_standing,position_team_standing,wins_team_standing,podium,age_at_race
19,54,2008,2,2.76083,101.738,18,20.0,97.087,0.0,0.0,0.0,18.0,0.0,0.0,11.0,0.0,0,31.148528405201915
22,54,2008,2,2.76083,101.738,18,18.0,96.388,0.0,0.0,3.0,9.0,0.0,9.0,4.0,0.0,0,23.195071868583163
15,39,2008,2,2.76083,101.738,18,15.0,96.11099999999999,95.648,0.0,3.0,13.0,0.0,2.0,8.0,0.0,0,20.722792607802873
1,30,2008,2,2.76083,101.738,18,1.0,95.34700000000001,94.412,95.74799999999999,3.0,13.0,0.0,11.0,3.0,1.0,0,26.910335386721425
20,5,2008,2,2.76083,101.738,18,21.0,97.101,0.0,0.0,3.0,13.0,0.0,0.0,10.0,0.0,0,25.196440793976727
10,1,2008,2,2.76083,101.738,18,10.0,95.89099999999999,95.0,99.656,3.0,13.0,0.0,5.0,6.0,0.0,0,26.015058179329227
18,0,2008,2,2.76083,101.738,18,19.0,96.67699999999999,0.0,0.0,2.0,10.0,0.0,2.0,8.0,0.0,0,29.065023956194388
2,57,2008,3,26.0325,50.5106,7,2.0,91.937,91.188,93.12299999999999,10.0,6.0,1.0,29.0,2.0,2.0,1,26.94866529774127
4,57,2008,3,26.0325,50.5106,7,4.0,92.652,91.93299999999999,93.418,19.0,1.0,1.0,29.0,2.0,2.0,1,28.470910335386723
1,57,2008,3,26.0325,50.5106,7,1.0,92.893,91.745,93.096,14.0,4.0,0.0,30.0,1.0,0.0,1,23.329226557152634
6,57,2008,3,26.0325,50.5106,7,6.0,93.137,91.90899999999999,93.737,16.0,2.0,0.0,30.0,1.0,0.0,0,30.90759753593429
5,57,2008,3,26.0325,50.5106,7,5.0,93.057,91.718,93.488,14.0,5.0,0.0,28.0,3.0,1.0,0,26.46406570841889
7,57,2008,3,26.0325,50.5106,7,7.0,92.493,92.15899999999999,93.994,8.0,7.0,0.0,8.0,5.0,0.0,0,33.73305954825462
11,57,2008,3,26.0325,50.5106,7,11.0,93.194,92.37100000000001,0.0,4.0,10.0,0.0,4.0,7.0,0.0,0,31.60848733744011
8,57,2008,3,26.0325,50.5106,7,8.0,92.90299999999999,92.185,94.015,7.0,8.0,0.0,10.0,4.0,0.0,0,22.77618069815195
13,57,2008,3,26.0325,50.5106,7,13.0,92.8,92.52799999999999,0.0,0.0,14.0,0.0,8.0,5.0,0.0,0,26.053388090349078
10,57,2008,3,26.0325,50.5106,7,10.0,92.947,92.345,95.11500000000001,6.0,9.0,0.0,6.0,6.0,0.0,0,26.688569472963724
12,57,2008,3,26.0325,50.5106,7,12.0,92.944,92.50800000000001,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0,35.87132101300479
18,56,2008,3,26.0325,50.5106,7,18.0,93.501,0.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,0,35.22518822724162
3,56,2008,3,26.0325,50.5106,7,3.0,92.75,91.922,93.292,14.0,3.0,1.0,28.0,3.0,1.0,0,23.24435318275154
16,56,2008,3,26.0325,50.5106,7,16.0,93.386,92.943,0.0,3.0,11.0,0.0,10.0,4.0,0.0,0,23.23340177960301
15,56,2008,3,26.0325,50.5106,7,15.0,93.41499999999999,92.91499999999999,0.0,2.0,12.0,0.0,2.0,8.0,0.0,0,29.10335386721424
21,56,2008,3,26.0325,50.5106,7,21.0,94.14,0.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,0,28.969199178644764
22,56,2008,3,26.0325,50.5106,7,22.0,95.725,0.0,0.0,0.0,20.0,0.0,0.0,11.0,0.0,0,31.186858316221766
